filename: frame000230_rgb.pngbbox1	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.12638767800058123	area_occluded_relative_to_gtbox: 0.12638767800058123	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.26132559112785103	area_occluded_relative_to_gtbox: 0.20106193764385855	high_attention_area_occluded_slc: 0.12939422473320777	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.26132559112785103	area_occluded_relative_to_gtbox: 0.060263653483992465	high_attention_area_occluded_slc: 0.2147154216363256	quadrants: ['1', '3']
filename: frame000485_rgb.pngbbox0	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.26132559112785103	area_occluded_relative_to_gtbox: 0.26132559112785103	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: False	combination: big2	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.18853742561854056	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.011744440964610085	high_attention_area_occluded_slc: 0.3065299091763232	quadrants: ['1', '2', '3', '4']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.20028186658315064	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.07516442217350454	high_attention_area_occluded_slc: 0.1945662386470404	quadrants: ['1', '2', '3', '4']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: False	combination: big0 big2	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.2637018477920451	high_attention_area_occluded_slc: 0	quadrants: ['2']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: True	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.08690886313811462	high_attention_area_occluded_slc: 0.28398058252427183	quadrants: ['1', '2', '3', '4']
filename: frame000178_rgb.pngbbox1	sequence: big0 small1 big2	success: False	combination: big0 small1 big2	high_attention_area_without_occlussion_slc: 0.27544628875665517	area_occluded_relative_to_gtbox: 0.27544628875665517	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: small0 small1	success: False	combination: small1	high_attention_area_without_occlussion_slc: 0.04894867037724181	area_occluded_relative_to_gtbox: 0.037188208616780044	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.04894867037724181	area_occluded_relative_to_gtbox: 0.011760461760461761	high_attention_area_occluded_slc: 0.11691403834260977	quadrants: ['1', '3']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.04894867037724181	area_occluded_relative_to_gtbox: 0.04894867037724181	high_attention_area_occluded_slc: 0.008225108225108226	quadrants: []
filename: frame000480_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.12342857142857143	area_occluded_relative_to_gtbox: 0.12342857142857143	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000518_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.24435483870967742	area_occluded_relative_to_gtbox: 0.20888463641334062	high_attention_area_occluded_slc: 0.037452159650082015	quadrants: ['2', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.24435483870967742	area_occluded_relative_to_gtbox: 0.035470202296336795	high_attention_area_occluded_slc: 0.19138873701476217	quadrants: ['1', '2', '3', '4']
filename: frame000518_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.24435483870967742	area_occluded_relative_to_gtbox: 0.24435483870967742	high_attention_area_occluded_slc: 0.19286495352651722	quadrants: []
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.5572059073162451	area_occluded_relative_to_gtbox: 0.44737735528772704	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.5572059073162451	area_occluded_relative_to_gtbox: 0.10982855202851807	high_attention_area_occluded_slc: 0.43354269224240366	quadrants: ['1', '2', '3', '4']
filename: frame000049_rgb.pngbbox1	sequence: big0 big1	success: False	combination: big0 big1	high_attention_area_without_occlussion_slc: 0.5572059073162451	area_occluded_relative_to_gtbox: 0.5572059073162451	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000132_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5510204081632653	area_occluded_relative_to_gtbox: 0.5510204081632653	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.037566353613719884	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.10301580820159832	high_attention_area_occluded_slc: 0.07635769701919151	quadrants: ['1', '2', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: big2 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.1405821618153182	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.016799860001166657	high_attention_area_occluded_slc: 0.07078691010908242	quadrants: ['1', '3', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small1 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.05436621361488654	high_attention_area_occluded_slc: 0	quadrants: ['1', '3', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.11981566820276499	high_attention_area_occluded_slc: 0	quadrants: ['1', '4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small1 big2 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.15738202181648486	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.028145598786676777	high_attention_area_occluded_slc: 0.07694102549145423	quadrants: ['1', '2', '3']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.06571195240039666	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.1311614069882751	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 big2 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.16872776060199499	high_attention_area_occluded_slc: 0	quadrants: ['2']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.04494545878784344	high_attention_area_occluded_slc: 0.1206323280639328	quadrants: ['1', '3']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small1 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.08251181240156333	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.14796126698944176	high_attention_area_occluded_slc: 0	quadrants: ['1']
filename: frame000210_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small1 big2 small3	high_attention_area_without_occlussion_slc: 0.18552762060316164	area_occluded_relative_to_gtbox: 0.18552762060316164	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000154_rgb.pngbbox1	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.2287094547964113	area_occluded_relative_to_gtbox: 0.18205659075224292	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000154_rgb.pngbbox1	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.2287094547964113	area_occluded_relative_to_gtbox: 0.04665286404416839	high_attention_area_occluded_slc: 0.1748792270531401	quadrants: ['1', '3']
filename: frame000154_rgb.pngbbox1	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.2287094547964113	area_occluded_relative_to_gtbox: 0.2287094547964113	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: big2	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.20040340406719717	high_attention_area_occluded_slc: 0.04684736958443855	quadrants: ['2', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.010996905393457117	high_attention_area_occluded_slc: 0.16879420866489833	quadrants: ['1', '2', '3', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.2114003094606543	high_attention_area_occluded_slc: 0.02541998231653404	quadrants: ['4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.011425176834659594	high_attention_area_occluded_slc: 0.2583858311229001	quadrants: ['1', '2', '3', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.21182858090185677	high_attention_area_occluded_slc: 0.19544374447391688	quadrants: ['2', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.02242208222811671	high_attention_area_occluded_slc: 0.09340461980548187	quadrants: ['1', '2', '3', '4']
filename: frame000514_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.22282548629531387	area_occluded_relative_to_gtbox: 0.22282548629531387	high_attention_area_occluded_slc: 0.03779840848806366	quadrants: []
filename: frame000263_rgb.pngbbox0	sequence: small0	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.05471179143745515	area_occluded_relative_to_gtbox: 0.05471179143745515	high_attention_area_occluded_slc: 0.01592521725265088	quadrants: []
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.01523987676056338	high_attention_area_occluded_slc: 0.13966219190140844	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: big2	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.0975187059859155	high_attention_area_occluded_slc: 0	quadrants: ['1', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: big2 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.11275858274647887	high_attention_area_occluded_slc: 0	quadrants: ['1', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.04343639964788732	high_attention_area_occluded_slc: 0.1181365536971831	quadrants: ['1', '2', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small1 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.0586762764084507	high_attention_area_occluded_slc: 0.10289667693661972	quadrants: ['2', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.1409551056338028	high_attention_area_occluded_slc: 0	quadrants: ['1', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small1 big2 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.1561949823943662	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.019228653169014086	high_attention_area_occluded_slc: 0.12552266725352113	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.03446852992957747	high_attention_area_occluded_slc: 0.18203950264084506	quadrants: ['1', '2', '3', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.11674735915492959	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 big2 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.13198723591549297	high_attention_area_occluded_slc: 0.138671875	quadrants: ['1', '3']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.0626650528169014	high_attention_area_occluded_slc: 0.10428587147887323	quadrants: ['1', '2', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: True	combination: small0 small1 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.07790492957746478	high_attention_area_occluded_slc: 0.13041923415492956	quadrants: ['2', '4']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.1601837588028169	high_attention_area_occluded_slc: 0	quadrants: ['1']
filename: frame000462_rgb.pngbbox0	sequence: small0 small1 big2 small3	success: False	combination: small0 small1 big2 small3	high_attention_area_without_occlussion_slc: 0.17542363556338028	area_occluded_relative_to_gtbox: 0.17542363556338028	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.02017681835439605	high_attention_area_occluded_slc: 0.27960080273363347	quadrants: ['1', '2', '3', '4']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.04778434669414764	high_attention_area_occluded_slc: 0.13594944947659598	quadrants: ['1', '2', '4']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.06796116504854369	high_attention_area_occluded_slc: 0.1348917936757607	quadrants: ['2', '4']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.14205130986603026	high_attention_area_occluded_slc: 0.2989911590822802	quadrants: ['1', '2', '3']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small2	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.16222812822042632	high_attention_area_occluded_slc: 0	quadrants: ['1', '3']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.1898356565601779	high_attention_area_occluded_slc: 0	quadrants: ['1', '2']
filename: frame000234_rgb.pngbbox0	sequence: big0 small1 small2	success: False	combination: big0 small1 small2	high_attention_area_without_occlussion_slc: 0.21001247491457395	area_occluded_relative_to_gtbox: 0.21001247491457395	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000175_rgb.pngbbox1	sequence: small0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.2892210144927536	area_occluded_relative_to_gtbox: 0.22952898550724637	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000175_rgb.pngbbox1	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.2892210144927536	area_occluded_relative_to_gtbox: 0.059692028985507246	high_attention_area_occluded_slc: 0.17916666666666667	quadrants: ['1', '3']
filename: frame000175_rgb.pngbbox1	sequence: small0 big1	success: False	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.2892210144927536	area_occluded_relative_to_gtbox: 0.2892210144927536	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.033379429212762546	high_attention_area_occluded_slc: 0.0075957992624659295	quadrants: ['2', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.017526455026455025	high_attention_area_occluded_slc: 0.056868286034952704	quadrants: ['1', '3', '4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.050905884239217575	high_attention_area_occluded_slc: 0.007215007215007215	quadrants: ['4']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.01670474587141254	high_attention_area_occluded_slc: 0.11479878146544813	quadrants: ['1', '2', '3']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.050084175084175085	high_attention_area_occluded_slc: 0.008597883597883597	quadrants: ['2']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.03423120089786756	high_attention_area_occluded_slc: 0.09609988776655444	quadrants: ['1', '3']
filename: frame000349_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small1 small2	high_attention_area_without_occlussion_slc: 0.06761063011063011	area_occluded_relative_to_gtbox: 0.06761063011063011	high_attention_area_occluded_slc: 0.02217612634279301	quadrants: []
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.10410734740631648	area_occluded_relative_to_gtbox: 0.07537227949599083	high_attention_area_occluded_slc: 0.02893143511700213	quadrants: ['1', '2']
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.10410734740631648	area_occluded_relative_to_gtbox: 0.02873506791032564	high_attention_area_occluded_slc: 0.17151039109801997	quadrants: ['1', '3']
filename: frame000505_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.10410734740631648	area_occluded_relative_to_gtbox: 0.10410734740631647	high_attention_area_occluded_slc: 0.03236786123384062	quadrants: []
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: big1	high_attention_area_without_occlussion_slc: 0.25170879316482736	area_occluded_relative_to_gtbox: 0.21621573513705944	high_attention_area_occluded_slc: 0.0435564257742969	quadrants: ['4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.25170879316482736	area_occluded_relative_to_gtbox: 0.035493058027767886	high_attention_area_occluded_slc: 0.26723033107867566	quadrants: ['1', '2', '3', '4']
filename: frame000504_rgb.pngbbox0	sequence: small0 big1	success: True	combination: small0 big1	high_attention_area_without_occlussion_slc: 0.25170879316482736	area_occluded_relative_to_gtbox: 0.2517087931648273	high_attention_area_occluded_slc: 0.030224279102883587	quadrants: []
filename: frame000237_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.46312640972835145	area_occluded_relative_to_gtbox: 0.46312640972835145	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000258_rgb.pngbbox0	sequence: small0 small1 small2 small3 small4	success: True	combination: small4	high_attention_area_without_occlussion_slc: 0.14048138172801505	area_occluded_relative_to_gtbox: 0.01603180710529691	high_attention_area_occluded_slc: 0.19618656748322005	quadrants: ['1', '2', '3', '4']
filename: frame000258_rgb.pngbbox0	sequence: small0 small1 small2 small3 small4	success: False	combination: small3	high_attention_area_without_occlussion_slc: 0.14048138172801505	area_occluded_relative_to_gtbox: 0.057971014492753624	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
filename: frame000258_rgb.pngbbox0	sequence: small0 small1 small2 small3 small4	success: True	combination: small3 small4	high_attention_area_without_occlussion_slc: 0.14048138172801505	area_occluded_relative_to_gtbox: 0.07400282159805054	high_attention_area_occluded_slc: 0.06709845667136934	quadrants: ['2', '3', '4']
filename: frame000258_rgb.pngbbox0	sequence: small0 small1 small2 small3 small4	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.14048138172801505	area_occluded_relative_to_gtbox: 0.03945962122183746	high_attention_area_occluded_slc: 0.13146081826343464	quadrants: ['1', '2', '3', '4']
filename: frame000258_rgb.pngbbox0	sequence: small0 small1 small2 small3 small4	success: True	combination: small2 small4	high_attention_area_without_occlussion_slc: 0.14048138172801505	area_occluded_relative_to_gtbox: 0.05549142832713437	high_attention_area_occluded_slc: 0.1586507631140182	quadrants: ['1', '3', '4']
