filename: frame000230_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.34562627143272306	area_occluded_relative_to_gtbox: 0.34562627143272306	high_attention_area_occluded_slc: 0.07311827956989247	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: big0	success: True	combination: big0	high_attention_area_without_occlussion_slc: 0.4247750575434191	area_occluded_relative_to_gtbox: 0.4247750575434191	high_attention_area_occluded_slc: 0.1787769407825905	quadrants: []
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small2	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.008065907522429262	high_attention_area_occluded_slc: 0.0524283988957902	quadrants: ['2', '4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.019312888198757764	high_attention_area_occluded_slc: 0.020596100759144236	quadrants: ['1', '4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: False	combination: small1 small2	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.027378795721187024	high_attention_area_occluded_slc: 0	quadrants: ['4']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.018568840579710144	high_attention_area_occluded_slc: 0.061152087646652864	quadrants: ['1', '2']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: True	combination: small0 small2	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.026634748102139408	high_attention_area_occluded_slc: 0.0307324016563147	quadrants: ['2']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: False	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.037881728778467905	high_attention_area_occluded_slc: 0	quadrants: ['1']
filename: frame000360_rgb.pngbbox0	sequence: small0 small1 small2	success: False	combination: small0 small1 small2	high_attention_area_without_occlussion_slc: 0.04594763630089717	area_occluded_relative_to_gtbox: 0.04594763630089717	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000185_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.6458403692446245	area_occluded_relative_to_gtbox: 0.6458403692446245	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.7091589861751152	area_occluded_relative_to_gtbox: 0.7091589861751152	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000251_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5524166099387339	area_occluded_relative_to_gtbox: 0.5524166099387339	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 small2 big3 big4	success: True	combination: big4	high_attention_area_without_occlussion_slc: 0.26859410430839004	area_occluded_relative_to_gtbox: 0.11570810142238713	high_attention_area_occluded_slc: 0.05510204081632653	quadrants: ['1', '2', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 small2 big3 big4	success: True	combination: big3	high_attention_area_without_occlussion_slc: 0.26859410430839004	area_occluded_relative_to_gtbox: 0.06462585034013606	high_attention_area_occluded_slc: 0.17106782106782106	quadrants: ['1', '3', '4']
filename: frame000348_rgb.pngbbox0	sequence: small0 small1 small2 big3 big4	success: True	combination: big3 big4	high_attention_area_without_occlussion_slc: 0.26859410430839004	area_occluded_relative_to_gtbox: 0.1803339517625232	high_attention_area_occluded_slc: 0.03674500103071532	quadrants: ['1', '3', '4']
