filename: frame000230_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.45454809648358036	area_occluded_relative_to_gtbox: 0.45454809648358036	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: big2	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.1490636116342331	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small1	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.009808537350910232	high_attention_area_occluded_slc: 0.06366394643230801	quadrants: ['1', '2', '3', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small1 big2	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.15887214898514332	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.05390772128060264	high_attention_area_occluded_slc: 0.12060577526679221	quadrants: ['1', '2', '3']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 big2	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.20297133291483574	high_attention_area_occluded_slc: 0	quadrants: ['2']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: True	combination: small0 small1	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.06371625863151287	high_attention_area_occluded_slc: 0.18782695124503035	quadrants: ['1', '3']
filename: frame000485_rgb.pngbbox0	sequence: small0 small1 big2	success: False	combination: small0 small1 big2	high_attention_area_without_occlussion_slc: 0.21277987026574596	area_occluded_relative_to_gtbox: 0.21277987026574596	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000185_rgb.pngbbox0	sequence: big0	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.5349725705329154	area_occluded_relative_to_gtbox: 0.5349725705329154	high_attention_area_occluded_slc: 0	quadrants: []
filename: frame000178_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big1	high_attention_area_without_occlussion_slc: 0.4313364055299539	area_occluded_relative_to_gtbox: 0.3434331797235023	high_attention_area_occluded_slc: 0	quadrants: ['2', '4']
filename: frame000178_rgb.pngbbox0	sequence: big0 big1	success: False	combination: big0	high_attention_area_without_occlussion_slc: 0.4313364055299539	area_occluded_relative_to_gtbox: 0.08790322580645162	high_attention_area_occluded_slc: 0	quadrants: ['1', '2', '3', '4']
